,,,,,,,,,,,,,,,
60,2000,1500,1,0.0047438,0.003414155,307294400,302111712,302951232,307676192,316976640,333769792,355651424,234620704,250806368,218852832
,,,,,,,,,,,,,,,
60,2500,1500,1,0.004486314,0.003034102,307634496,301474784,300327136,302743808,309037024,321325504,340983936,252924016,266430336,250821200
,,,,,,,,,,,,,,,
60,3000,1500,1,0.004053011,0.002660264,307759744,300932320,298238016,298457856,301969536,310770432,328861888,277826112,275212896,269474688
,,,,,,,,,,,,,,,
60,3500,1500,1,0.003760359,0.002399254,308187328,300833024,297463680,296517632,298737184,305549856,314766592,277385792,270621472,250920480
,,,,,,,,,,,,,,,
60,4000,1500,1,0.00338507,0.002072365,308832192,300893344,297392000,295952832,297847808,303065888,296678528,255206656,219264992,200866848
,,,,,,,,,,,,,,,
70,2000,1500,1,0.004978733,0.003410896,305140896,302223488,304716608,309981536,319153152,335264544,361797376,256702032,259164544,232311840
,,,,,,,,,,,,,,,
70,2500,1500,1,0.004410537,0.002876906,306630144,302136800,302150624,304797856,311011488,322483456,342866880,277444128,271229152,259596304
,,,,,,,,,,,,,,,
70,3000,1500,1,0.003359324,0.00218997,307092160,301984320,300244384,300457152,303576832,310794848,320568832,282258112,274119392,270724704
,,,,,,,,,,,,,,,
70,3500,1500,1,0.003902761,0.002443148,307562080,302036320,299718144,298734080,300440608,305128576,299686304,266429216,265345360,263751488
,,,,,,,,,,,,,,,
70,4000,1500,1,0.003558794,0.002211645,308477152,302435200,300467968,299757504,301812224,303857536,278509120,232531664,201476288,197788352
,,,,,,,,,,,,,,,
80,2000,1500,1,0.004848081,0.003091697,302484672,301154048,304582720,309697664,317754048,331173088,357050752,278171680,265249072,245453952
,,,,,,,,,,,,,,,
80,2500,1500,1,0.004450611,0.002890088,304361600,301803712,302862368,305358496,310246368,318637376,331862592,286506816,271079744,265385392
,,,,,,,,,,,,,,,
80,3000,1500,1,0.004134111,0.002676553,305481152,302107968,301423168,301800512,304084032,308597472,305965632,275313792,270487520,274135168
,,,,,,,,,,,,,,,
80,3500,1500,1,0.00379348,0.002423065,306263808,302498880,301521024,301221856,302732320,304684608,285507648,250972832,256471104,262709984
,,,,,,,,,,,,,,,
80,4000,1500,1,0.003558691,0.002180378,306608480,302785440,301935456,301330752,302281248,300247232,263187008,217823488,204537296,213321408
,,,,,,,,,,,,,,,
40,2000,2000,1,0.006514918,0.004881183,309641664,299035008,298749568,305087232,318873216,340264032,357944608,214694016,211262016,129786640
,,,,,,,,,,,,,,,
40,2500,2000,1,0.005464054,0.004339722,310179552,299418176,299030656,305044672,316945376,334005568,346310048,210529136,216577552,139948064
,,,,,,,,,,,,,,,
40,3000,2000,1,0.005498091,0.003973678,309777056,298847936,297839968,302856512,313312384,328458272,338091616,212153440,217770144,210404704
,,,,,,,,,,,,,,,
40,3500,2000,1,0.005163408,0.003551383,309119968,298027040,296206048,299951136,308541952,322687264,334825888,223349056,241280144,218013664
,,,,,,,,,,,,,,,
40,4000,2000,1,0.004810467,0.003097048,308616960,297019424,294116096,296247040,302519552,313339104,329075488,245739728,266806528,185495456
,,,,,,,,,,,,,,,
