bead_length,voltage,current,travel_speed,thermol_efficiency,energy_input,bead_width,bead_depth,1,2,3,4,5,6,7,8,9,10
40.0,40.0,100.0,3500.0,0.75,1000.0,0.002111543,0.001207702,311551616.0,297923488.0,295501632.0,298366720.0,307741184.0,321125216.0,281039552.0,156255024.0,22414296.0,150703904.0
40.0,20.0,100.0,4000.0,0.75,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,20.0,125.0,4000.0,0.8,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,20.0,200.0,4000.0,0.75,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,25.0,100.0,4000.0,0.8,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,25.0,125.0,4000.0,0.8,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,25.0,150.0,4000.0,0.8,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,25.0,160.0,4000.0,0.75,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,30.0,125.0,4000.0,0.8,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,32.0,125.0,4000.0,0.75,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,37.5,100.0,4000.0,0.8,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
40.0,40.0,100.0,4000.0,0.75,1000.0,0.00178494,0.000854543,313483360.0,299173888.0,298329888.0,303098080.0,317457248.0,322657792.0,247672304.0,97814904.0,-16414244.0,134606272.0
50.0,20.0,100.0,2000.0,0.75,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,20.0,125.0,2000.0,0.8,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,20.0,200.0,2000.0,0.75,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,25.0,100.0,2000.0,0.8,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,25.0,125.0,2000.0,0.8,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,25.0,150.0,2000.0,0.8,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,25.0,160.0,2000.0,0.75,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,30.0,125.0,2000.0,0.8,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,32.0,125.0,2000.0,0.75,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,37.5,100.0,2000.0,0.8,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,40.0,100.0,2000.0,0.75,1000.0,0.003399874,0.002053359,308328640.0,298630080.0,295511552.0,296525824.0,301060608.0,312113472.0,334614688.0,278094848.0,263651744.0,212377984.0
50.0,20.0,100.0,2500.0,0.75,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,20.0,125.0,2500.0,0.8,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,20.0,200.0,2500.0,0.75,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
