,Travel_length,Welding_speed,Net_energy_input,Position,Stress
177,40,2000,1500,0.85,320.9286925
178,60,3500,3000,0.85,329.2690631
179,60,4000,2500,0.85,330.1388271
180,70,2500,3000,0.85,323.8242459
181,60,4000,3000,0.85,330.8634831
182,70,2000,2500,0.85,320.4214209
183,50,3500,1000,0.85,334.1929564
184,40,4000,1500,0.85,335.2304179
185,80,4000,1500,0.85,322.3540687
186,60,2500,3000,0.85,326.6934244
187,60,2500,1500,0.85,320.3263271
188,80,3500,3000,0.85,322.1280996
189,70,2500,2000,0.85,319.3847179
190,60,2500,1000,0.85,321.3329034
191,40,2000,2500,0.85,325.4141134
192,70,3500,2500,0.85,324.8458415
193,70,3500,1000,0.85,328.1220884
194,80,2000,1500,0.85,310.3960726
195,40,4000,2000,0.85,334.1044025
196,60,4000,2000,0.85,330.0495783
197,70,3000,1500,0.85,321.0179018
198,80,2000,2000,0.85,313.6700296
199,50,3500,2000,0.85,329.7412463
200,40,3500,2500,0.85,331.1738379
201,80,3000,3000,0.85,320.7985294
202,80,4000,3000,0.85,323.4596851
203,60,2000,2500,0.85,323.1823991
204,60,2000,2000,0.85,320.515895
205,70,4000,2000,0.85,326.2804119
206,80,3000,1000,0.85,319.8909674
207,80,3500,2000,0.85,319.9342165
208,50,2000,2500,0.85,324.8863048
209,80,3000,2500,0.85,319.1842425
210,40,2000,3000,0.85,327.1218683
211,70,4000,1500,0.85,326.6509386
212,80,4000,2000,0.85,322.2233918
213,40,3000,2000,0.85,328.2949393
214,40,4000,3000,0.85,333.8048717
215,70,2500,1500,0.85,317.4926766
216,50,3000,2500,0.85,328.1972204
217,80,2000,3000,0.85,318.0106275
218,80,2500,1000,0.85,314.2881351
219,80,3000,2000,0.85,317.2993555
220,80,2500,2500,0.85,317.5885921
221,60,4000,1500,0.85,330.2558881
222,40,2000,2000,0.85,323.2917711
223,50,3500,1500,0.85,329.6879581
224,70,3000,3000,0.85,325.0672987
225,60,3000,3000,0.85,327.7860228
226,60,3000,2500,0.85,326.3139691
227,50,3000,3000,0.85,329.4746659
228,70,4000,3000,0.85,327.8254634
229,40,3500,1500,0.85,331.5326508
230,50,4000,1000,0.85,337.31954
231,40,4000,1000,0.85,339.0235834
232,70,3000,2000,0.85,321.5939324
233,60,3500,1000,0.85,331.3574674
234,50,4000,3000,0.85,332.9060075
235,70,3000,2500,0.85,323.3964011
236,50,2000,2000,0.85,322.2549343
237,70,2500,1000,0.85,318.1772176
238,80,2000,1000,0.85,310.3097301
239,50,4000,1500,0.85,332.9757773
240,40,2500,2000,0.85,325.4226595
241,70,3500,2000,0.85,324.3231213
242,80,3500,1000,0.85,324.0542141
243,50,2500,2000,0.85,324.2417066
244,50,3000,1500,0.85,326.7326324
245,40,3500,2000,0.85,331.2246572
246,80,4000,2500,0.85,322.48661
247,50,2500,1500,0.85,322.5255715
248,50,2000,3000,0.85,327.1027515
249,70,3000,1000,0.85,323.0757103
250,50,3500,3000,1.7,339.1552952
251,80,3000,1500,1.7,333.1764899
252,60,3500,1500,1.7,341.3572053
253,60,3000,1500,1.7,337.4930588
254,40,2500,2500,1.7,332.0933934
255,60,2500,2000,1.7,331.5609262
256,50,4000,2000,1.7,343.8630223
257,40,3000,1500,1.7,337.1609707
258,60,2500,2500,1.7,331.8030299
259,70,2500,2500,1.7,330.5010245
260,40,2000,1000,1.7,329.8222753
261,70,2000,2000,1.7,326.3266178
262,60,4000,1000,1.7,351.2842447
263,40,2500,1000,1.7,336.5012994
264,70,2000,1000,1.7,328.743717
265,50,2500,3000,1.7,333.0394615
266,40,3000,3000,1.7,336.2514439
267,80,3500,1500,1.7,337.0165673
268,50,2500,2500,1.7,332.2889364
269,70,3500,3000,1.7,336.8041026
270,50,3000,1000,1.7,343.7039151
271,80,2500,2000,1.7,327.3994396
272,60,2000,3000,1.7,330.5343668
273,60,3000,1000,1.7,343.3643436
274,60,2000,1500,1.7,327.2103579
275,70,2000,1500,1.7,325.8523858
276,50,2500,1000,1.7,336.9198383
277,40,4000,2500,1.7,344.3343691
278,70,3500,1500,1.7,339.7014361
279,80,2000,2500,1.7,324.4943656
280,50,4000,2500,1.7,342.7531864
281,80,3500,2500,1.7,334.0063001
282,60,3500,2000,1.7,339.7570892
283,70,2000,3000,1.7,328.796476
284,60,3500,2500,1.7,338.5890482
285,60,3000,2000,1.7,336.1962764
286,40,2500,1500,1.7,333.6589822
287,80,2500,3000,1.7,328.6022024
288,50,3000,2000,1.7,337.0935247
289,70,4000,2500,1.7,339.959791
290,50,2000,1000,1.7,330.2896082
291,40,2500,3000,1.7,332.4257162
292,80,2500,1500,1.7,327.6752553
293,40,3000,2500,1.7,336.8100433
294,50,3500,2500,1.7,339.5241198
295,60,2000,1000,1.7,330.0643983
296,40,3500,1000,1.7,348.2007371
297,40,3000,1000,1.7,345.8068489
298,70,4000,1000,1.7,349.614856
299,40,3500,3000,1.7,339.1612884
300,80,4000,1000,1.7,347.5703865
301,50,2000,1500,1.7,327.6380782
302,40,2000,1500,1.7,327.4208891
303,60,3500,3000,1.7,338.3373518
304,60,4000,2500,1.7,342.8537644
305,70,2500,3000,1.7,331.4495592
306,60,4000,3000,1.7,341.4834939
307,70,2000,2500,1.7,327.4459064
308,50,3500,1000,1.7,348.3742034
309,40,4000,1500,1.7,347.7826738
310,80,4000,1500,1.7,342.3831936
311,60,2500,3000,1.7,332.7481972
312,60,2500,1500,1.7,331.9459109
313,80,3500,3000,1.7,334.0044341
314,70,2500,2000,1.7,330.0741928
315,60,2500,1000,1.7,336.4989331
316,40,2000,2500,1.7,328.4768583
317,70,3500,2500,1.7,336.9105615
318,70,3500,1000,1.7,346.3004048
319,80,2000,1500,1.7,323.2661468
320,40,4000,2000,1.7,345.7195064
321,60,4000,2000,1.7,344.4188588
322,70,3000,1500,1.7,334.7540031
323,80,2000,2000,1.7,323.8351931
324,50,3500,2000,1.7,340.5603807
325,40,3500,2500,1.7,339.8586261
326,80,3000,3000,1.7,331.5133122
327,80,4000,3000,1.7,336.8708767
328,60,2000,2500,1.7,328.9282609
329,60,2000,2000,1.7,327.5756251
