40,2000,1000,1,0.003309717,0.002109217,131149.625,150039.3125,134498.625,-1293646.625,-1759136.625,-1261569.25,-27520.28125,1564447.25,3402745,5476852,7846429.5,10599658,13855100,17742596,22458912,28192528,35435232,44534728,57561240,80759856,114580544,175647200,241909808,286152640,303145440,307646464,311448736,311298400,310598560,309134272,308758976,307937728,307875264,307088000,306703424,305121600,305450880,306190848,308340704,306123776,294462560,248805920,179315328,120616752,90514808,64606760,50584948,40036660,31986296,25483118,20198214,15817402,12149898,9030462,6337980,3985765.75,1956478.75,324309.5938,-598782.8125,-627723.75,295898.8125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2500,1000,1,0.002450607,0.001784303,400396,425253,250105.3125,-1088861.625,-1624676.5,-1251716,-200578.1563,1170686.75,2744077.5,4500939,6486127,8770680,11448672,14624136,18448832,23070248,28882034,36164028,46614680,63296684,93339208,149859328,223395104,280539264,304769440,309083008,313257344,313242432,312566080,310774816,310232960,309043072,308692512,308022656,307967104,306911584,307905600,308512960,309452800,303138496,270758976,192975856,116495528,80192128,54074880,42010112,33122806,26542234,21245304,16952304,13379030,10382554,7830150,5622931.5,3679851,1950204.25,444337.8438,-731847.125,-1242840.25,-873702.875,296685.4375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3000,1000,1,0.002434145,0.001482563,540397.3125,548939,289673.9375,-1010353.188,-1600200.625,-1321918.25,-405288.375,805111.5,2188532,3721184,5438891,7401262,9688602,12385990,15624416,19511148,24401614,30450274,39280944,50942200,80893584,123399552,206465824,273702656,304742560,309625664,314101760,314446528,313978560,312205504,311952928,310322880,310274944,309586592,309227264,308689600,309388256,310617920,310125056,299251776,251405968,160768800,98996144,60705800,43586164,33683436,26696468,21400780,17149524,13665152,10751116,8289699,6177931,4335088,2695803,1221634.75,-67664.875,-1056538.25,-1409506.75,-903221.75,317400.0625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3500,1000,1,0.002111543,0.001207702,605730.6875,607765.375,306258.125,-941416.4375,-1548630.25,-1331011,-512584.5,577767.1875,1820598.125,3189944.5,4715815,6450541.5,8464666,10832953,13668342,17065940,21323796,26602812,34304048,44543940,72964000,107095696,191545664,267155904,304689856,310213984,314725888,315170496,314899328,313316416,313195360,311551616,311863232,310772416,310410816,310281280,310423104,312811968,310344896,294993248,233802848,134669664,82061920,48948940,36550036,28145512,22412984,17956692,14401046,11454992,8986812,6889275,5080848.5,3491491,2066558,775114.75,-358264,-1215523.625,-1469458,-897638.625,321646.1875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4000,1000,1,0.00178494,0.000854543,635081.3125,635174.625,311451.125,-875711.875,-1482876.625,-1311666.125,-577589.875,407767.4688,1528308.75,2757092.5,4119710,5662241.5,7447806,9541137,12044024,15032228,18778694,23385756,30169626,39041596,59310204,98225712,178501360,260895264,304589856,310958336,315330240,315892800,315664064,314629696,314397632,313483360,313573824,312250240,312317376,311866272,311100224,315727168,309079264,289529920,213885952,116427344,69152248,41263904,30687628,23686520,18888796,15159371,12157362,9658823,7555115,5758952,4202014,2824714,1580585.5,444814.3438,-555225.9375,-1302251.25,-1481589.25,-876419,316992.6875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2000,1000,1,0.003399874,0.002053359,58092.75,184428.1563,129979.375,-2031103.5,-2824681.75,-2241238.5,-606932.3125,1528117.75,3998193.5,6785325,9965953,13670528,18034496,23300678,29594308,37609984,47298728,67753936,91429440,151090976,212124000,263834512,289858304,295637984,304057440,309453248,310871552,310434880,310055616,309240224,308923776,308328640,308072640,307872288,307652928,307543808,307341024,306792992,306974464,307818688,307344448,299987648,267276160,200049648,129511296,83759240,63974988,45589036,36001148,28390640,22272282,17198544,12936944,9295732,6134267,3355992.5,958231.3125,-931300.125,-1832470.875,-1473721.5,226309.4375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
