180-120-17-50-3500-3000,323.864448,328.080512,334.835648,339.689184,343.729952,347.296128,350.622496,352.53376,352.016192,325.444672,292.775872,279.693568,268.838496,260.369504,254.210928,250.242256,248.1888,247.328544,239.21728,213.3652,195.350912
180-120-17-80-3000-1500,303.470976,311.243744,324.476704,334.251744,342.7264,349.098784,327.322848,296.782464,284.101216,273.187648,265.086064,259.656592,256.079408,253.00112,248.993584,243.06664,234.60288,212.340864,166.838592,149.348848,160.03056
180-120-17-60-3500-1500,313.815008,321.479712,334.114912,342.25232,349.100768,353.568032,327.860832,293.9216,280.30816,269.495168,262.03056,257.778576,255.45992,253.064464,248.577936,240.652992,228.750624,199.54952,144.934208,127.628624,142.691232
180-120-17-60-3000-1500,313.032256,319.634816,330.670048,338.336352,344.675968,349.479616,326.713536,295.15488,281.66,270.252224,261.852816,256.563712,253.81768,252.331712,250.447328,246.667952,239.868896,218.837424,172.576144,146.035504,148.991344
180-120-17-40-2500-2500,321.695872,324.732512,329.373952,332.429504,335.038912,338.02592,340.782528,343.64896,346.714592,322.926816,290.647072,277.150304,266.142912,257.3264,250.427968,245.463488,242.239456,240.453488,238.035664,217.164624,198.141952
180-120-17-60-2500-2000,315.292576,319.065984,326.25664,332.216512,336.909984,340.734976,344.641824,348.535264,324.486624,291.2,277.303744,266.127136,257.713936,251.865456,248.342096,246.68528,246.299088,245.252384,233.999968,209.6452,195.45592
180-120-17-50-4000-2000,322.09024,327.623616,337.657344,344.630016,349.521088,354.858304,356.791744,328.711552,293.574816,279.057792,267.658816,259.648256,255.096608,253.243872,252.618816,251.34528,247.419632,227.9172,177.188736,142.033152,140.99264
180-120-17-40-3000-1500,318.393792,324.160576,332.849184,337.693888,342.965568,348.803008,327.192832,295.199552,280.469888,268.223248,258.992832,253.014,250.096496,249.46736,249.69288,248.793344,244.60096,222.701408,166.019776,128.641472,129.240976
180-120-17-60-2500-2500,318.623232,321.913408,327.661696,332.31488,336.141504,339.89984,343.065696,346.091072,349.24192,324.687328,291.395936,277.69824,266.872208,258.511296,252.25424,248.066448,245.64648,244.279744,241.05888,229.219312,220.062784
180-120-17-70-2500-2500,314.927488,318.701472,325.48544,331.120928,335.771424,340.286144,344.016896,347.431296,351.035008,326.541216,293.086304,279.549888,268.956192,260.805024,254.712736,250.603376,248.116784,245.916736,240.494624,228.257248,220.14832
180-120-17-40-2000-1000,311.853056,317.3232,325.413856,330.367136,333.951552,311.449088,281.431968,269.598688,259.717152,252.57168,248.284352,246.415648,245.998608,245.485664,243.191312,237.888992,228.812368,203.167376,148.415824,120.807064,127.861984
