40,2000,1000,0
50,2000,1000,0
60,2000,1000,0
70,2000,1000,0
80,2000,1000,9
40,2500,1000,0
50,2500,1000,0
60,2500,1000,0
70,2500,1000,0
80,2500,1000,9
40,3000,1000,0
50,3000,1000,0
60,3000,1000,0
70,3000,1000,0
80,3000,1000,9
40,3500,1000,0
50,3500,1000,0
60,3500,1000,0
70,3500,1000,0
80,3500,1000,9
40,4000,1000,9
50,4000,1000,9
60,4000,1000,9
70,4000,1000,9
80,4000,1000,9
40,2000,1500,0
50,2000,1500,0
60,2000,1500,0
70,2000,1500,0
80,2000,1500,9
40,2500,1500,0
50,2500,1500,0
60,2500,1500,0
70,2500,1500,0
80,2500,1500,9
40,3000,1500,0
50,3000,1500,0
60,3000,1500,0
70,3000,1500,0
80,3000,1500,9
40,3500,1500,0
50,3500,1500,0
60,3500,1500,0
70,3500,1500,0
80,3500,1500,9
40,4000,1500,9
50,4000,1500,9
60,4000,1500,9
70,4000,1500,9
80,4000,1500,9
40,2000,2000,0
50,2000,2000,0
60,2000,2000,0
70,2000,2000,0
80,2000,2000,9
40,2500,2000,0
50,2500,2000,0
60,2500,2000,0
70,2500,2000,0
80,2500,2000,9
40,3000,2000,0
50,3000,2000,0
60,3000,2000,0
70,3000,2000,0
80,3000,2000,9
40,3500,2000,0
50,3500,2000,0
60,3500,2000,0
70,3500,2000,0
80,3500,2000,9
40,4000,2000,9
50,4000,2000,9
60,4000,2000,9
70,4000,2000,9
80,4000,2000,9
40,2000,2500,0
50,2000,2500,0
60,2000,2500,0
70,2000,2500,0
80,2000,2500,9
40,2500,2500,0
50,2500,2500,0
60,2500,2500,0
70,2500,2500,0
80,2500,2500,9
40,3000,2500,0
50,3000,2500,0
60,3000,2500,0
70,3000,2500,0
80,3000,2500,9
40,3500,2500,0
50,3500,2500,0
60,3500,2500,0
70,3500,2500,0
80,3500,2500,9
40,4000,2500,9
50,4000,2500,9
60,4000,2500,9
70,4000,2500,9
80,4000,2500,9
40,2000,3000,9
50,2000,3000,9
60,2000,3000,9
70,2000,3000,9
80,2000,3000,9
40,2500,3000,9
50,2500,3000,9
60,2500,3000,9
70,2500,3000,9
80,2500,3000,9
40,3000,3000,9
50,3000,3000,9
60,3000,3000,9
70,3000,3000,9
80,3000,3000,9
40,3500,3000,9
50,3500,3000,9
60,3500,3000,9
70,3500,3000,9
80,3500,3000,9
40,4000,3000,9
50,4000,3000,9
60,4000,3000,9
70,4000,3000,9
80,4000,3000,9
50,3750,1750,5
80,3750,1750,5
70,2750,1250,5
50,2750,2750,5
70,2750,1750,5
70,3750,2250,5
80,2750,1250,5
50,2750,1750,5
50,2250,2750,5
50,3250,1250,5
80,3250,2750,5
80,2250,2250,5
40,3750,1250,5
50,2250,1750,5
60,3250,1750,5
40,3750,2250,5
40,2750,1750,5
70,2250,2250,5
60,2250,2750,5
80,3250,2250,5
40,2750,2250,5
50,3250,2750,5
60,3750,1750,5
60,2250,1250,5
40,3250,1750,5
80,2250,2750,5
50,3250,2250,5
40,2250,2250,5
60,2750,1250,5
80,3250,1750,5
80,3750,2250,5
40,2750,1250,5
60,2250,1750,5
40,3750,1750,5
60,3250,2250,5
70,2250,2750,5
80,2750,2250,5
40,3250,2250,5
70,2750,2750,5
50,3250,1750,5
80,2250,1250,5
60,3750,1250,5
70,3750,2750,5
60,2250,2250,5
60,2750,1750,5
70,3750,1750,5
70,2750,2250,5
80,3250,1250,5
40,3250,2750,5
60,3250,2750,5
60,3750,2250,5
60,3250,1250,5
70,3250,2250,5
40,3750,2750,5
80,3750,1250,5
80,2750,2750,5
50,3750,1250,5
50,2750,2250,5
80,2250,1750,5
40,2250,1250,5
70,2250,1250,5
50,2750,1250,5
50,3750,2750,5
40,2250,1750,5
80,3750,2750,5
70,3250,2750,5
40,3250,1250,5
50,3750,2250,5
40,2750,2750,5
60,2750,2750,5
70,3250,1250,5
70,3250,1750,5
70,3750,1250,5
50,2250,1250,5
50,2250,2250,5
80,2750,1750,5
60,2750,2250,5
60,3750,2750,5
40,2250,2750,5
70,2250,1750,5
